,view_count,likes,ratio
0,8036001,324742,96.91
1,9378067,562589,98.19
2,2182066,273650,99.38
3,6525864,94698,96.25
4,9481284,582481,97.22
5,1853121,89903,97.46
6,2875684,183163,94.52
7,483827,4864,91.53
8,1677046,103227,97.52
9,289756,2387,92.95
10,2561907,237728,98.8
11,468390,25346,98.34
12,18977153,768968,98.73
13,365731,5997,93.29
14,680701,41543,97.99
15,5748289,225966,99.17
16,3575950,374937,97.69
17,865788,31806,98.3
18,5433739,389145,98.84
19,3643458,369667,97.88
20,247602,1516,89.18
21,300443,25429,99.49
22,313500,56891,98.35
23,3525217,92948,95.29
24,195072,23832,98.97
25,142697,20708,98.91
26,456783,2625,94.53
27,601565,38792,98.34
28,6021472,342044,97.54
29,940583,14292,97.7
30,446569,7557,97.15
31,767900,11091,97.14
32,5895810,98088,95.87
33,381910,45178,99.21
34,2468645,188315,98.73
35,407859,19407,98.77
36,846399,29308,95.93
37,872092,27298,94.85
38,1279718,98471,99.06
39,1068377,92634,98.89
40,4691951,164807,98.93
41,1091006,55346,98.53
42,891230,30612,88.39
43,720734,35647,98.11
44,1025214,19926,94.86
45,505146,3309,59.69
46,265430,2124,91.99
47,3651318,283911,98.64
48,1290212,201881,99.3
49,420393,5434,95.99
50,655107,21485,96.16
51,1010207,23720,95.85
52,777547,9167,94.46
53,686703,34001,98.54
54,1625877,62101,98.35
55,2107926,59334,97.3
56,1564214,81581,97.96
57,2277765,53425,89.82
58,1558609,95695,98.23
59,1689305,88050,95.43
60,3382856,74078,93.32
61,4835746,276098,94.3
62,248754,2041,90.75
63,687182,63309,97.61
64,751948,24359,98.3
65,737756,23093,82.35
66,964229,18898,86.34
67,973121,22810,97.6
68,575508,16975,94.75
69,1114419,35208,94.3
70,722956,21843,97.6
71,1560200,38185,96.52
72,281397,3706,91.53
73,1122525,28232,97.23
74,20650480,212862,91.88
75,225207,1524,84.76
76,598367,24260,94.51
77,2117363,162960,99.12
78,1233027,16400,88.81
79,2566897,112005,54.67
80,11907188,1234111,83.49
81,1477059,36018,98.75
82,292469,5656,92.71
83,466862,47754,98.96
84,1055798,46122,97.84
85,1278142,26021,97.37
86,1938747,16942,87.66
87,338563,8416,96.46
88,645274,17943,94.67
89,730110,26868,92.31
90,1521090,19761,86.6
91,1719425,79646,98.33
92,3028604,75484,97.22
93,1236239,55409,96.0
94,906642,14128,91.88
95,1257902,20899,92.93
96,1163635,30173,89.82
97,1413936,90918,97.87
98,709519,6013,95.14
99,628111,41450,97.03
100,2478832,143686,98.28
101,2524598,32486,93.66
102,821547,18708,97.31
103,3016943,38294,95.76
104,743575,20181,89.7
105,919626,22114,95.84
106,2536083,538376,99.6
107,959442,13220,95.94
108,2044159,41080,92.48
109,1554417,67165,93.0
110,2181022,180132,98.19
111,1010899,13696,97.57
112,2620663,72681,96.68
113,5732609,189529,97.16
114,1187273,73120,99.24
115,1594532,85661,97.01
116,8403016,294629,96.97
117,5972754,133474,96.6
118,6189511,267690,99.03
119,1042734,23761,91.61
120,9476773,417402,97.8
121,8040754,789213,98.73
122,2724624,88968,91.74
123,1085592,27288,98.51
124,3393417,219213,95.68
125,16396012,208578,79.21
126,3226905,19814,91.77
127,6276301,286642,98.15
128,647094,19753,89.98
129,8081040,477122,98.81
130,886934,29360,98.46
131,1228396,29893,98.2
132,697471,6452,94.85
133,1605670,78364,96.63
134,2056991,121925,98.44
135,397981,6185,58.36
136,2760289,106828,97.14
137,3655043,54069,89.65
138,10662064,320959,97.89
139,3105500,108620,96.6
140,2238691,48825,96.77
141,1153518,25832,96.44
142,686228,24882,96.57
143,7523411,614901,98.87
144,2641916,49354,95.78
145,11657853,233343,97.82
146,5932061,172195,95.91
147,6313988,323119,98.18
148,2850316,218273,98.14
149,2620142,36637,93.99
150,854120,54821,98.05
151,13799864,317613,96.07
152,906841,35315,98.09
153,689607,20658,98.58
154,441729,14901,99.0
155,797800,14327,95.41
156,1682016,75706,98.17
157,1426251,57965,98.73
158,2268534,91796,97.75
159,750032,39406,98.19
160,4272799,26229,98.03
161,2449662,80825,97.54
162,5988592,512483,99.4
163,3662227,75552,97.46
164,725964,42700,98.98
165,1647440,111190,98.85
166,985104,12721,96.5
167,1665692,23961,92.37
168,2051794,81790,96.64
169,4112883,116481,93.46
170,33297045,1293427,99.07
171,1517628,19931,96.25
172,1675692,18803,72.76
173,3626738,173591,98.44
174,1169663,7766,92.99
175,446959,4923,89.48
176,6995153,195994,96.69
177,519706,18975,98.94
178,4373224,169228,93.01
179,4024087,73080,97.71
180,731349,42205,98.52
181,94366013,4539630,97.66
182,2458132,34337,95.52
183,1812670,17476,94.43
184,2028445,158178,97.94
185,1335703,12622,94.14
186,938717,17120,97.26
187,2926955,42554,97.73
188,4018930,32919,82.1
189,6439402,81148,51.58
190,5665790,166892,96.95
191,899728,28115,96.49
192,2792057,206926,96.99
193,12839663,722491,97.84
194,5694139,146797,98.19
195,1069693,3970,90.66
196,590760,70454,99.18
197,319347,1208,92.5
198,27594927,1351963,96.4
199,26993425,437561,97.42
